sentence,target
"Hi, I’m calling from the IT department — we’ve detected some unusual activity on your account.",1
"I just need to verify your employee ID and login so we can reset your access.",1
"Can you confirm your password for security purposes? I’ll change it for you right away.",1
"Your account has been suspended due to suspicious activity. Click here to verify your identity.",1
"You’ve received a secure document via DocuSign. View document now.",1
"Your invoice is attached. Please review and submit payment immediately to avoid late fees.",1
"Unusual sign-in activity detected. Reset your password now to secure your account.",1
"I'm conducting a quick internal audit and need to confirm some details from your department.",1
"The manager told me to collect this information from everyone — it’s urgent.",1
"We’re updating our employee records. Can you send me your last three pay stubs?",1
"Sorry, I forgot my badge. Mind holding the door for me?",1
"I’m new here — can you show me where the server room is?",1
"I was told to pick up some equipment from this floor. Can you let me in?",1
"I noticed your system is running slow — I can help fix that if you want.",1
"Looks like you might have a virus. Do you want me to take a look?",1
"I can optimize your network speed. Just give me temporary remote access.",1
"Olá, tudo bem? Aqui está o relatório que você pediu.",0
"Por favor, revise os dados da última reunião.",0
"Nos vemos amanhã às 14h para a entrega do projeto.",0
"Hi John, just checking if you had a chance to review the proposal. Let me know.",0
"Please find attached the updated financial report for Q2.",0
"Good morning team, our next meeting is scheduled for Thursday at 10 AM.",0
